id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
267;Milk Shake Silver Shine Light;103;aqua, ammonium lauryl sulfate, cocamidopropyl betaine, disodium laureth sulfosuccinate, glycerin, sodium chloride, acid violet 43, glycol distearate, laureth-4, guar hydroxypropyltrimonium chloride, rubus fruticosus fruit extract, rubus idaeus leaf extract, vaccinium myrtillus fruit extract, fragaria ananassa fruit extract, sodium benzoate, potassium sorbate, peg-5 cocomonium methosulfate, sodium glutamate, hydrolyzed milk protein, hydroxypropyltrimonium hydrolyzed casein, sodium cocoyl glutamate, hydroxypropyl guar hydroxypropyltrimonium chloride, citric acid, methylchloroisothiazolinone, methylisothiazolinone, parfum, benzyl alcohol, benzyl benzoate, benzyl salicylate, limonene, linalool;https://www.hebe.pl/milk-shake-szampon-ochladzajacy-kolor-wlosow-300-ml-63134773.html;normalne;normalna;srednia
268;Prreti Cotton Musk;49;water, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, lauryl glucoside, sodium chloride, panthenol, tetradecene, polyquaternium-10, hexadecene, citric acid, butylene glycol, glycine, serine, glutamic acid, sodium hyaluronate, simmondsia chinensis seed oil, cocos nucifera oil, citrus limon fruit extract, argania spinosa kernel oil, aspartic acid, glycerin, leucine, alanine, lysine, arginine, tyrosine, phenylalanine, valine, threonine, proline, isoleucine, caprylic, capric triglyceride, histidine, methionine, cysteine, potassium hyaluronate, hydroxypropyltrimonium hyaluronate, hydrolyzed sodium hyaluronate, hydrolyzed hyaluronic acid, hyaluronic acid, sodium citrate, pentylene glycol, hydrogenated lecithin, sodium hyaluronate crosspolymer, sodium acetylated hyaluronate, ceramide np, hydrolyzed wheat protein, hydrolyzed soy protein, hydrolyzed rice protein, hydrolyzed rice bran protein, hydrolyzed corn protein, chlorphenesin, ethylhexylglycerin, phenoxyethanol, hydroxyacetophenone, 1,2-hexanediol, disodium edta, fragrance, citral, limonene, geraniol;https://www.hebe.pl/prreti-koreanski-szampon-do-wlosow-zniszczonych-500-ml-000000000000527751.html;krecone/falowane;normalna;wysoka
269;Seboradin Pure Balance;29;aqua, sodium laureth sulfate, cocamidopropyl betaine, cocamide dea, glycerin, aesculus hippocastanum seed extract, salvia officinalis leaf extract, equisetum arvense extract, tussilago farfa leaf extract, rosmarinus officinalis leaf extract, urtica dioica extract, chamomilla recutita flower extract, melissa officinalis leaf extract, sodium chloride, sodium benzoate, coco-glucoside, glyceryl oleate, citric acid, propylene glycol, ethoxydiglycol, glucose, lactic acid, potassium sorbate, caramel, alcohol, methylpropanediol, palmitamidopropyltrimonium chloride, disodium edta, triethylene glycol, benzyl alcohol, methylchloroisothiazolinone, methylisothiazolinone, magnesium chloride, magnesium nitrate, parfum;https://www.hebe.pl/seboradin-szampon-do-wlosow-400-ml-000000000000575793.html;normalne;normalna;srednia
270;Weleda;45;water, alcohol denat, coco-glucoside, glycerin, disodium cocoyl glutamate, xanthan gum, betaine, rosmarinus officinalis leaf oil, tocopherol, citric acid, lecithin, sodium hyaluronate, ascorbyl palmitate, glyceryl oleate, sodium pca, sodium cocoyl glutamate, hydrogenated palm glycerides citrate, fragrance, beta-caryophyllene, camphor, limonene, pinene;https://www.hebe.pl/weleda-rewitalizujacy-szampon-z-rozmarynem-do-wlosow-250-ml-000000000000582150.html;normalne;normalna;srednia
271;Nivea Volume Strenght;15;aqua, sodium laureth sulfate, cocamidopropyl betaine, decyl glucoside, sodium chloride, bambusa vulgaris shoot extract, soluble collagen, guar hydroxypropyltrimonium chloride, dicaprylyl ether, propylene glycol, glyceryl oleate, butylene glycol, citric acid, sodium benzoate, benzoic acid, benzyl alcohol, citronellol, parfum;https://www.hebe.pl/nivea-szampon-pielegnujacy-do-wlosow-400-ml-000000000000218724.html;normalne;normalna;niska
272;Nivea Diamond Gloss;15;aqua, sodium laureth sulfate, cocamidopropyl betaine, decyl glucoside, coco-glucoside, sodium chloride, citric acid, diamond powder, rosa damascena flower oil, rosa gallica flower extract, dicaprylyl ether, guar hydroxypropyltrimonium chloride, glycerin, glyceryl oleate, glycol distearate, hydrogenated castor oil, sodium benzoate, potassium sorbate, sorbic acid, benzoic acid, parfum;https://www.hebe.pl/nivea-szampon-do-wlosow-dodajacy-blasku-400ml-000000000000218716.html;normalne;normalna;srednia
273;Head&Shoulders Repair&Care;25;aqua, sodium laureth sulfate, sodium xylenesulfonate, cocamidopropyl betaine, sodium citrate, dimethiconol, parfum, citric acid, cocamide mea, glycol distearate, piroctone olamine, dimethicone, sodium chloride, guar hydroxypropyltrimonium chloride, sodium benzoate, tea-dodecylbenzenesulfonate, sodium salicylate, trideceth-10, tetrasodium edta, hexyl cinnamal, sodium hydroxide, glycerin, niacinamide, benzyl salicylate, limonene, alpha-isomethyl ionone, citronellol, linalool, panthenol, tocopheryl acetate, benzyl alcohol, triethylene glycol, propylene glycol;https://www.hebe.pl/headshoulders-przeciwlupiezowy-szampon-do-wlosow-400-ml-000000000000218018.html;puszace/suche;tlusta/lupiez;srednia
274;Pharmaceris H H-Stimutone;62;aqua, sodium myreth sulfate, cocamidopropyl betaine, glycerin, panthenol, peg-7 glyceryl cocoate, coco-glucoside, polyquaternium-10, laureth-2, peg/ppg-120/10 trimethylolpropane trioleate, guar hydroxypropyltrimonium chloride, caffeine, maltodextrin, naringenin, juglans regia shell extract, ethylhexylglycerin, hydroxyethylcellulose, citric acid, disodium edta, xanthan gum, glyceryl behenate, urea, pentylene glycol, calcium gluconate, polyglyceryl-3 methylglucose distearate, cholesterol, sodium chloride, disodium phosphate, sh-polypeptide-32, potassium phosphate, potassium chloride, phenoxyethanol, gluconolactone, sodium benzoate, potassium sorbate, parfum;https://www.hebe.pl/pharmaceris-specjalistyczny-szampon-o-podwojnym-dzialaniu-spowalniajacy-proces-siwienia-i-stymulujacy-wzrost-wlosow-250-ml-000000000000389512.html;krecone/falowane;normalna;srednia
275;beBIO Longevity;34;aqua, sodium coco-sulfate, cocamidopropyl betaine, maris sal, glycerin, aloe barbadensis leaf juice, acacia seyal gum extract, nicotinamide mononucleotide, resveratrol, biotin, hydrolyzed corn protein, hydrolyzed wheat protein, hydrolyzed soy protein, leuconostoc, macadamia integrifolia seed oil, argania spinosa kernel oil, opuntia ficus-indica seed oil, persea gratissima oil, stearic acid, myristic acid, palmitic acid, hydroxypropyl guar hydroxypropyltrimonium chloride, guar hydroxypropyltrimonium chloride, triticum vulgare flour lipids, citric acid, polymethyl methacrylate, tricaprylin, polyglyceryl-3 distearate, polysorbate 60, sodium benzoate, potassium sorbate, benzyl alcohol, parfum, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/bebio-naturalny-wzmacniajacy-szampon-do-wlosow-300-ml-000000000000475430.html;normalne;sucha/wrazliwa;wysoka
276;Venita Henna Color;12;aqua, sodium laureth sulfate, cocamidopropyl betaine, glycol distearate, cocamide mea, laureth-10, coco-glucoside, glyceryl oleate, peg-4 rapeseedamide, polyquaternium-7, sodium pca, diglycerin, urea, hydrolyzed wheat protein, sorbitol, pca, lysine, allantoin, propylene glycol, juglans regia leaf extract, sodium chloride, lactic acid, methylchloroisothiazolinone, methylisothiazolinone, ci 12250, parfum, hexyl cinnamal;https://www.hebe.pl/venita-szampon-do-mycia-wlosow-w-odcieniach-brazowych-300-ml-000000000000527748.html;normalne;sucha/wrazliwa;wysoka
277;La Roche-Posay Kerium;108;;https://www.hebe.pl/la-roche-posay-szampon-do-wlosow-400ml-000000000000302605.html;normalne;normalna;niska
278;Gliss Oil Nutritive;17;aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, peg-120 methyl glucose dioleate, prunus armeniaca kernel oil, sclerocarya birrea seed oil, hydrolyzed keratin, parfum, polyquaternium-10, sodium benzoate, peg-7 glyceryl cocoate, coco-glucoside, glyceryl oleate, peg-40 hydrogenated castor oil, citric acid, linalool, sodium hydroxide, limonene, propylene glycol, phenoxyethanol, potassium sorbate, benzyl alcohol, ci 19140, ci 15985, ci 47005;https://www.hebe.pl/gliss-kur-szampon-do-wlosow-400ml-000000000000217459.html;krecone/falowane;normalna;wysoka
279;Joanna Cannabis seed;9;aqua, ammonium lauryl sulfate, sodium laureth sulfate, cocamidopropyl betaine, cocamide dea, peg-7 glyceryl cocoate, glycerin, cannabis sativa seed extract, aloe barbadensis leaf juice, sodium hyaluronate, trehalose, sodium pca, urea, polyquaternium-51, hydroxypropyl guar hydroxypropyltrimonium chloride, panthenol, polyquaternium-22, sodium chloride, citric acid, sodium benzoate, potassium sorbate, tetrasodium glutamate diacetate, leuconostoc/radish root ferment filtrate, parfum, citral, citronellol, citrus aurantium peel oil, geraniol, hexyl cinnamal, limonene, linalool, linalyl acetate, dmdm hydantoin, methylchloroisothiazolinone, methylisothiazolinone;https://www.hebe.pl/joanna-nawilzajaco-wzmacniajacy-szampon-do-wlosow-delikatnych-i-uwrazliwionych-400-ml-000000000000359532.html;normalne;sucha/wrazliwa;srednia
280;Yope Blonde;31;aqua, coco glucoside, sodium coco-sulfate, glycerin, cocamidopropyl betaine, cocodimonium hydroxypropyl hydrolyzed wheat protein, decyl glucoside, c8-12 alkyl glucosides, sodium cocoyl hydrolyzed rice protein, acacia senegal gum, sodium pca, leuconostoc, emblica officinalis fruit extract, arginine, aspartic acid, colloidal platinum, pca, glycine, alanine, serine, valine, isoleucine, proline, threonine, histidine, phenylalanine, parfum, xanthan gum, cellulose, cellulose gum, butylene glycol, benzoic acid, sodium chloride, citric acid, sodium lactate, sodium benzoate, potassium sorbate, carbon black, mica, sepiolite, titanium dioxide;https://www.hebe.pl/yope-szampon-do-wlosow-blond-300-ml-000000000000476490.html;normalne;normalna;wysoka
281;L'biotica Biovax Glamour Hydrating Therapy;22;aqua, ammonium lauryl sulfate, cocamidopropyl betaine, glycerin, acrylates copolymer, lauryl glucoside, coco-glucoside, glycol distearate, glycereth-7 caprylate, hydroxypropyl guar hydroxypropyl trimonium chloride, polyquaternium-10, panthenol, caulerpa lentillifera extract, caprylic, capric triglyceride, laminaria ochroleuca extract, tetrasodium glutamate diacetate, styrene, acrylates copolymer, citric acid, lactic acid, benzoic acid, phenoxyethanol, ethylhexylglycerin, sodium benzoate, sodium hydroxide, parfum, mica, hexyl cinnamal, limonene, linalool, ci 77891, ci 77491;https://www.hebe.pl/lbiotica-biovax-nawilzajacy-szampon-do-wlosow-200-ml-000000000000459605.html;krecone/falowane;normalna;srednia
282;Delia Cameleo Anti Damage;17;aqua, sodium laureth sulfate, propylene glycol, peg-7 glyceryl cocoate, cocamide mipa, palmitamidiopropyltrimonium chloride, glycerin, betaine, phenoxyethanol, parfum, coco-glucoside, glyceryl oleate, dmdm hydantoin, peg-150 pentaerythrityl tetrastearate, ethylhexylglycerin, laurdimonium hydroxypropyl hydrolyzed keratin, trifolium pratense leaf extract, rosmarinus officinalis extract, lycium barbarum fruit extract, disodium edta, ppg-2 hydroxyethyl cocoamide, polyquaternium-7, peg-14m, citric acid, hydroxypropyl guar hydroxypropyltrimonium chloride, benzyl salicylate, sodium benzoate, potassium sorbate, tocopherol, hydrogenated palm glycerides citrate, lecithin, sorbic acid, ascorbyl palmitate;https://www.hebe.pl/delia-keratynowy-szampon-do-wlosow-250-ml-000000000000276717.html;normalne;normalna;wysoka
283;Sielanka Kraina mlekiem i miodem płynąca;8;aqua, sodium laureth sulfate, cocamidopropyl betaine, inulin, alpha-glucan oligosaccharide, oenothera biennis seed oil, linum usitatissimum seed oil, pentaclethra macroloba seed oil, glycerin, rosmarinus officinalis leaf extract, chamomilla recutita flower extract, arnica montana flower extract, lamium album extract, salvia officinalis leaf extract, pinus sylvestris bud extract, nasturtium officinale extract, arctium majus root extract, citrus limon peel extract, hedera helix leaf extract, calendula officinalis flower extract, tropaeolum majus flower extract, allantoin, decyl glucoside, mel extract, citric acid, acrylates copolymer, sodium benzoate, potassium sorbate, guar hydroxypropyltrimonium chloride, sodium chloride, tetrasodium edta, parfum;https://www.hebe.pl/sielanka-szampon-do-wlosow-przetluszczajacych-sie-400-ml-000000000000411519.html;normalne;sucha/wrazliwa;srednia
284;Prosalon Ceramidy;35;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, solanum lycopersicum fruit extract, glucosyl ceramide, phospholipids, niacinamide, glycerin, guar hydroxypropyltrimonium chloride, hydroxypropyl methylcellulose, methoxy peg/ppg-7/3 aminopropyl dimethicone, acrylates/c10-30 alkyl acrylate crosspolymer, cholesterol, panthenol, sodium hydroxide, phenoxyethanol, parfum, citric acid, potassium sorbate, sodium benzoate, methylisothiazolinone, methylchloroisothiazolinone;https://www.hebe.pl/prosalon-szampon-do-wlosow-1000-ml-000000000000406320.html;puszace/suche;normalna;srednia
285;Chi Keratin;59;aqua, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, glycerin, acrylates copolymer, polysorbate 20, keratin amino acids, hydrolyzed ceratonia siliqua seed extract, argania spinosa kernel oil, simmondsia chinensis seed oil, hydrolyzed silk, panthenol, disodium laureth sulfosuccinate, caprylyl glycol, phenoxyethanol, polyquaternium-10, disodium edta, glycol distearate, linoleamidopropyl pg-dimonium chloride phosphate, peg-8 methyl ether dimethicone, potassium sorbate, peg-150 pentaerythrityl tetrastearate, hexylene glycol, steareth-4, peg-6 caprylic capric glycerides, citric acid, polyquaternium-7, zea mays starch, guar hydroxypropyltrimonium chloride, fragrance, citronellol, geraniol, hexyl cinnamal, hydroxycitronellal, limonene, linalool;https://www.hebe.pl/chi-odbudowujacy-szampon-do-wlosow-355-ml-000000000000407085.html;krecone/falowane;normalna;srednia
286;Oillan Derm+;19;aqua, lauryl glucoside, glycerin, cocamidopropyl betaine, betaine, panthenol, coco, glyceryl oleate, peg-7 glyceryl cocoate, glycereth-7 caprylate, peg-120 methyl glucose dioleate, tocopherol, ascorbyl palmitate, allantoin, argania spinosa kernel oil, prunus amygdalus dulcis oil, disodium laureth sulfosuccinate, bisabolol, citric acid, hydrogenated palm glycerides citrate, peg-12 dimethicone, lecithin, glyceryl caprylate, parfum;https://www.hebe.pl/oillan-nawilzajacy-szampon-do-wlosow-180-ml-000000000000447558.html;puszace/suche;sucha/wrazliwa;srednia
287;Ziaja Kozie Mleko;12;aqua, sodium laureth sulfate, cocamidopropyl betaine, ammonium lauryl sulfate, glycol distearate, laureth-4, guar hydroxypropyltrimonium chloride, hydrolyzed keratin, propylene glycol, goat milk extract, sodium chloride, sodium benzoate, parfum, linalool, citronellol, hexyl cinnamal, terpineol, eugenol, alpha-isomethyl ionone, citric acid;https://www.hebe.pl/ziaja-wzmacniajacy-szampon-do-wlosow-400-ml-000000000000390052.html;normalne;normalna;wysoka
288;Back To Comfort Pyretrin-D Trichotherapy;59;aqua, coco-glucoside, decyl glucoside, panthenol, glycerin, squalane, babassu oil glycereth-8 esters, tarchonanthus camphoratus oil, 4-terpineol, helichrysum angustifolium flower extract, dicaprylyl ether, tanacetum cinerariifolium flower extract, quillaja saponaria wood extract, saponaria officinalis leaf/root extract, pelargonium graveolens flower oil, melaleuca alternafolia leaf oil, mandelic acid, ammonium glycyrrhizinate, mannitol, arginine, niacinamide, calcium pantothenate, biotin, faex extract, allantoin, threonine, hydrolyzed oat protein, sodium surfactin, cellulose gum, xanthan gum, inulin, cellulose, glucose, fructose, guar hydroxypropyltrimonium chloride, citric acid, trisodium ethylenediamine disuccinate, sodium levulinate, potassium sorbate, citronellol, linalool, geraniol, benzyl benzoate;https://www.hebe.pl/back-to-comfort-trychologiczny-szampon-do-wlosow-250-ml-59639591.html;normalne;sucha/wrazliwa;srednia
289;Kaminomoto;89;aqua, tea-lauryl sulfate, sodium laureth sulfate, cocamide dea, butylene glycol, lauryl betaine, glycol distearate, l-menthol, peg-75 lanolin, piroctone olamine, sodium chloride, disodium edta, citric acid, fragrance, sodium salicylate, isodon trichocarpus extract, sophora angustifolia root extract, glycyrrhetinic acid, ci 19140, ci 42053, benzyl benzoate, hexyl cinnamal, linalool;https://www.hebe.pl/kaminomoto-szampon-kondycjonujacy-do-wlosow-300-ml-000000000000445777.html;normalne;tlusta/lupiez;niska
290;La'Dor ACV Vinegar;49;aqua, glycerin, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, butylene glycol, pyrus malus fruit extract, vinegar, sodium chloride, decyl glucoside, methylpropanediol, 1,2-hexanediol, cocamide mea, polyquaternium-10, guar hydroxypropyltrimonium chloride, vitis vinifera fruit extract, persea gratissima fruit extract, hippophae rhamnoides fruit extract, saccharum officinarum extract, melaleuca alternifolia leaf extract, olea europaea fruit extract, daucus carota sativa root extract, prunus mume fruit extract, rubus chamaemorus fruit extract, hibiscus sabdariffa flower extract, luffa cylindrica fruit extract, actinidia chinensis fruit extract, citrus limon fruit extract, allantoin, parfum, adansonia digitata seed extract, caprylhydroxamic acid, ethylhexylglycerin, disodium edta, citric acid, sodium acetate, isopropyl alcohol, cynanchum atratum extract;https://www.hebe.pl/lador-szampon-do-wlosow-150-ml-000000000000587189.html;krecone/falowane;sucha/wrazliwa;srednia
291;Garnier Fructis Watermelon Hair Food;24;`aqua, water, sodium lauryl sulfate, coco-glucoside, coco-betaine, punica granatum extract, cocos nucifera oil, citrullus lanatus fruit extract, glycerin, glyceryl oleate, triethyl citrate, lecithin, sodium chloride, sodium hydroxide, hydrogenated palm glycerides citrate, hydroxypropyl guar hydroxypropyltrimonium chloride, citric acid, tocopherol, ascorbyl palmitate, sodium benzoate, salicylic acid, linalool, geraniol, limonene, citral, benzyl alcohol, parfume`;https://www.hebe.pl/garnier-arbuzowy-szampon-do-wlosow-350-ml-000000000000420831.html;normalne;tlusta/lupiez;srednia
292;Joanna Ultra Color;12;aqua, sodium laureth sulfate, cocamidopropyl betaine, propylene glycol, laureth, cocamide mipa, coco-glucoside, glyceryl oleate, glycol distearate, amodimethicone, polyquaternium, chamomilla recutita flower extract, hydrolyzed wheat protein, butylene glycol, soy acid, capric acid, caprylic acid, tocopherol, hydrogenated vegetable glycerides citrate, glycerin, formic acid, c-sec-pareth, phenoxyethanol, acetic acid, decylene glycol, caprylyl glycol, disodium edta, citric acid, sodium benzoate, sodium chloride, parfum, linalool, hexyl cinnamal, limonene, dmdm hydantoin, methylchloroisothiazolinone, methylisothiazolinone, triethanolamine, basic orange;https://www.hebe.pl/joanna-szampon-do-wlosow-200ml-000000000000232191.html;puszace/suche;normalna;wysoka
293;Yope Daily Heroes Super;24;aqua, lauryl glucoside, coco-glucoside, sodium lauroyl sarcosinate, cocamidopropyl hydroxysultaine, disodium cocoamphodiacetate, disodium lauryl sulfosuccinate, sorbitol, linum usitatissimum seed extract, linseed ferment extract, hydroxylpropyl guar hydroxypropyltrimonium chloride, starch hydroxypropyl trimonium chloride, gluconolactone, hydrolyzed sodium hyaluronate, sodium hyaluronate, hydrolyzed quinoa, glycerin, allantoin, algin, butylene glycol, pentylene glycol, glyceryl oleate citrate, propanediol, caprylic capric triglyceride, urea, parfum, citric acid, lactic acid, sodium lactate, sodium chloride, sodium benzoate, potassium sorbate, benzyl salicylate, hexamethylindanopyran, limonene, linalyl acetate, tetramethyl acetyloctahydronaphtalenes;https://www.hebe.pl/yope-szampon-do-wlosow-300-ml-000000000000598522.html;normalne;sucha/wrazliwa;srednia
294;Fanola Restructuring;34;aqua, sodium laureth sulfate, sodium cocoamphoacetate, sodium myreth sulfate, cocamidopropyl betaine, sodium chloride, glycol distearate, parfum, cocamide mea, citric acid, hydrolyzed wheat protein, guar hydroxypropyltrimonium chloride, laureth-10, triethylene glycol, benzyl alcohol, propylene glycol, peg-5 cocomonium methosulfate, sodium glutamate, sodium benzoate, phenoxyethanol, hydroxypropyltrimonium hydrolyzed casein, hydrolyzed milk protein, sodium cocoyl glutamate, methylchloroisothiazolinone methylisothiazolinone, magnesium nitrate, magnesium chloride, hydroxypropyl guar hydroxypropyltrimonium chloride, ethylhexylglycerin, tetrasodium glutamate diacetate;https://www.hebe.pl/fanola-szampon-do-wlosow-odbudowujacy-350-ml-000000000000466082.html;normalne;normalna;wysoka
295;Sielanka Zielnik Sielanki;9;aqua, sodium laureth sulfate, cocamidopropyl betaine, glycerin, acrylates copolymer, triethanolamine, urtica dioica leaf extract, camellia sinensis leaf extract, mentha piperita leaf extract, zinc pca, vitis vinifera seed oil, simmondsia chinensis seed oil, styrene/acrylates copolymer, polyquaternium-10, sodium benzoate, potassium sorbate, guar hydroxypropyltrimonium chloride, citric acid, dehydroacetic acid, sodium chloride, benzyl alcohol, parfum;https://www.hebe.pl/sielanka-szampon-do-wlosow-przetluszczajacych-sie-pokrzywa-400-ml-000000000000587271.html;krecone/falowane;tlusta/lupiez;srednia
296;Bioelixire Professional;22;aqua, disodium laureth sulfosuccinate, cocamidopropyl betaine, sodium cocoamphoacetate, peg-7 glyceryl cocoate, cocoglucoside, acrylates copolymer, glycol distearate, dimethicone peg-8 meadowfoamate, xanthan gum, hydroxypropyltrimonium hyaluronate, butyrospermum parkii butter, hydrolyzed collagen, argania spinosa kernel oil, simmondsia chinensis seed oil, panthenol, helianthus annuus seed extract, parfum, citric acid, guar hydroxypropyltrimonium chloride, polyquaternium-16, glycerin, linalool, hexyl cinnamal, triethylene glycol, potassium sorbate, benzyl alcohol, propylene glycol, citronellol, methylchloroisothiazolinone methylisothiazolinone, magnesium chloride, magnesium nitrate, butylene glycol;https://www.hebe.pl/bioelixire-szampon-arganowy-do-wlosow-300-ml-000000000000378947.html;puszace/suche;normalna;srednia
297;Vichy Dercos;99;aqua, sodium laureth sulfate, dimethicone, glycol distearate, coco-betaine, glycerin, ppg-5-ceteth-20, selenium sulfide, carbomer, ci 47005, citric acid, menthol, 2-oleamido-1,3-octadecanediol, salicylic acid, sodium benzoate, sodium chloride, sodium hyaluronate, sodium hydroxide, tocopheryl acetate, parfum;https://www.hebe.pl/vichy-przeciwlupiezowy-szampon-do-wlosow-200-ml-000000000000559014.html;puszace/suche;tlusta/lupiez;srednia
298;Resibo Easy Breezy Wash;38;aqua, coco-glucoside, sodium lauroyl sarcosinate, cocamidopropyl betaine, glycerin, betaine, pantolactone, citrus aurantium amara flower extract, lycium barbarum fruit extract, porphyra umbilicalis extract, phyllanthus emblica fruit extract, panthenol, squalane, polyglyceryl-3 pca, guar hydroxypropyltrimonium chloride, citric acid, sodium benzoate, sodium phytate, potassium sorbate, caesalpinia spinosa gum, sodium surfactin, lactic acid, sorbic acid, ascorbic acid;https://www.hebe.pl/resibo-szampon-oczyszczajacy-do-wlosow-250-ml-000000000000422282.html;normalne;normalna;srednia
299;Head&Shoulders Smooth&Silky;25;aqua, sodium laureth sulfate, sodium xylenesulfonate, cocamidopropyl betaine, dimethiconol, sodium citrate, dimethicone, citric acid, parfum, cocamide mea, glycol distearate, piroctone olamine, sodium chloride, guar hydroxypropyltrimonium chloride, tea-dodecylbenzenesulfonate, sodium benzoate, trideceth-10, sodium salicylate, tetrasodium edta, hexamethylindanopyran, hexyl cinnamal, sodium hydroxide, limonene, terpineol, benzyl salicylate, alpha-isomethyl ionone, citrus aurantium peel oil, citronellol, linalool, histidine, benzyl alcohol, propylene glycol, triethylene glycol;https://www.hebe.pl/headshoulders-przeciwlupiezowy-szampon-z-odzywka-2w1-do-wlosow-330-ml-000000000000502231.html;puszace/suche;tlusta/lupiez;niska
300;Miya Cosmetics Scalp&More Calm;29;aqua, lauryl glucoside, sodium coco-sulfate, glycerin, betaine, panthenol, gluconolactone, lactic acid, fructose, inulin, bifida ferment lysate, parfum, polyglyceryl-4 caprate, hydroxypropyl guar hydroxypropyltrimonium chloride, acetic acid, dicaprylyl ether, decyl glucoside, glyceryl oleate, sodium phytate, citric acid, methylpropanediol, caprylyl glycol, benzoic acid, phenoxyethanol, sodium benzoate, hexamethylindanopyran, tetramethyl acetyloctahydronaphthalenes, linalyl acetate, limonene;https://www.hebe.pl/miya-cosmetics-nawilzajacy-szampon-z-prebiotykami-do-wlosow-300-ml-000000000000573751.html;normalne;normalna;srednia
301;Orientana Energia;39;aqua, lauryl glucoside, palm kernel, coco glucoside, emblica officinalis fruit powder, cocamidopropyl betanine, glyceryl oleate, sapindus mukurossi fruit powder, sodium cocoyl glutamate, rosa damascena flower oil, glycerin, aloe barbadensis leaf juice, sodium pca, hydrolyzed wheat protein, oryza sativa bran oil, acacia concinna fruit powder, symplocos racemosa bark extract, sepicontrol a5, polyquaternium 10, cymbopogon schoenanthus, oramix ns, hydrolyzed sweet almond protein, menthol, xanthan gum, zingiber officinale oil, citric acid, sodium benzoate, potassium sorbate;https://www.hebe.pl/orientana-szampon-do-wszystkich-rodzajow-wlosow-imbir-i-trawa-cytrynowa-210-ml-000000000000299735.html;normalne;sucha/wrazliwa;wysoka
302;Ogx Coconut Milk;42;water, sodium c14-16 olefin sulfonate, cocamidopropyl betaine, sodium chloride, cocamidopropyl hydroxysultaine, ppg-2 hydroxyethyl coco, acrylates copolymer, cocos nucifera oil, hydrolyzed milk protein, albumen, amodimethicone, panthenol, sodium cocoyl isethionate, glycol distearate, laureth-4, polyquaternium-6, polyquaternium-10, trideceth-12, cetrimonium chloride, guar hydroxypropyltrimonium chloride, peg-120 methyl glucose dioleate, disodium edta, diazolidinyl urea, iodopropynyl butylcarbamate, fragrance;https://www.hebe.pl/ogx-odzywczy-szampon-do-wlosow-385-ml-000000000000228262.html;krecone/falowane;normalna;srednia
303;La Roche-Posay Kerium;131;aqua, sodium laureth sulfate, cocamide mea, glycerin, capryloyl glycine, coco-betaine, laureth-5 carboxylic acid, salicylic acid, cocamide mipa, sodium hydroxide, piroctone olamine, isopropyl myristate, sodium chloride, sodium benzoate, hexylene glycol, polyquaternium-10, peg-55 propylene glycol oleate, propylene glycol, niacinamide, capryloyl salicylic acid, peg-4 dilaurate, peg-4 laurate, peg-4, iodopropynyl butylcarbamate, parfum;https://www.hebe.pl/la-roche-posay-szampon-do-wlosow-125ml-000000000000225600.html;krecone/falowane;tlusta/lupiez;srednia
304;Prosalon Peptides&Biotin;35;aqua, ammonium lauryl sulfate, cocamidopropyl betaine, sodium chloride, coco glucoside, hydrolyzed quinoa, hydrolyzed soy protein, biotin, niacinamide, polyquaternium-10, hydroxypropyl methylcellulose, glycol distearate, laureth-4, zinc pca, glucose, panax ginseng root extract, citrulline, ornithine hcl, arginine hcl, glucosamine hcl, pyridoxine hcl, allium cepa, glycerin, parfum, citric acid, benzoic acid, potassium sorbate, sodium benzoate;https://www.hebe.pl/prosalon-szampon-z-peptydami-i-biotyna-do-wlosow-1000-ml-000000000000427996.html;krecone/falowane;tlusta/lupiez;srednia
305;Orientana;39;aqua, lauryl glucoside, palm kernel, coco glucoside, cocamidopropyl betanine, sodium cocoyl glutamate, sapindus mukurossi fruit powder, melia azadirachta extract, camellia sinensis leaf extract, glycerin, aloe barbadensis leaf juice, calendula officinalis extract, terminalia bellerica fruit extract, glyceryl oleate, emblica officinalis fruit powder, sodium pca, hydrolyzed wheat protein, symplocos racemosa bark extract, acacia concinna fruit powder, ocimum basilicum herb extract, oryza sativa bran oil, zinc pca, polyquaternium 10, decyl glucoside, hydrolyzed sweet almond protein, xanthan gum, tea tree oil, rosmarinus officinalis leaf oil, citric acid, sodium benzoate, potassium sorbate;https://www.hebe.pl/orientana-szampon-do-wlosow-neem-i-drzewo-herbaciane-210-ml-000000000000389471.html;normalne;tlusta/lupiez;wysoka
306;Sielanka Soczysta Truskawka;8;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, glycerin, allantoin, hyaluronic acid, fragaria ananassa fruit extract, hydrolyzed gelatin, polyquaternium-10, guar hydroxypropyltrimonium chloride, citric acid, edta, parfum, ci 16035;https://www.hebe.pl/sielanka-rewitalizujacy-szampon-do-wlosow-400-ml-000000000000418837.html;krecone/falowane;sucha/wrazliwa;srednia
